ID,Title,Authors,Year,Journal,DOI,Section,Core_Contribution,Key_Metrics,Relevance_1_5,Verification_Status
A-01,High-density silicon microneedle array for electrochemical sensing,"Dervisevic M, et al.",2021,Advanced Functional Materials,10.1002/adfm.202009850,§2,High-density Si MNA ~9500 needles/cm² for scalable ISF sensing,Needle density ~9500/cm²; insertion force measured,5,[V]
A-02,Clinic-on-a-needle: simultaneous glucose/lactate/insulin detection,"Heifler O, et al.",2021,ACS Nano,10.1021/acsnano.1c03310,§2+§4,Simultaneous 3-analyte detection from single MNA insertion,Three analytes; demonstrated in ISF,5,[V]
A-03,Hollow microneedle glucose patch for ISF monitoring,"Parrilla M, et al.",2022,Talanta,10.1016/j.talanta.2022.123695,§2,Hollow MNA glucose patches with enzymatic detection,Sensitivity and LOD for glucose; hollow MN geometry,5,[V]
A-04,First molecular monitoring of human ISF via MNA,"Friedel M, et al.",2023,Lab on a Chip,10.1039/d3lc00210a,§2+§4,First demonstration of small molecule ISF monitoring in humans,Human ISF validation; molecular LOD values,5,[V]
A-05,Core-shell zwitterionic hydrogel microneedle for anti-biofouling sensing,"Zhou S, et al.",2024,ACS Nano,10.1021/acsnano.4c02997,§2+§7,Zwitterionic coating eliminates biofouling; 14-day wear,Biofouling resistance >14 days; sensitivity retention,5,[V]
A-06,3D-printed aptamer microneedle for pharmacokinetic monitoring,"Reynoso M, et al.",2024,Biosensors and Bioelectronics,10.1016/j.bios.2023.115802,§2+§4,3D-printed hollow MNA with aptasensor for drug monitoring,Drug LOD; in vivo pharmacokinetic curve,5,[V]
A-07,PEDOT-coated microneedle for glucose amperometry,"Sharma S, et al.",2022,ACS Applied Materials & Interfaces,10.1021/acsami.2c04321,§2,Electropolymerized PEDOT matrix for GOx immobilization,Sensitivity 42 μA mM⁻¹ cm⁻²; LOD 0.5 μM; 7-day stability,4,[N]
A-08,Stainless steel microneedle array with gold electrodeposition,"Caliò A, et al.",2021,Sensors and Actuators B,10.1016/j.snb.2020.129235,§2,Low-cost SS MNA with Au coating for enzymatic sensing,LOD 5 μM glucose; 21-day ISF stability claimed,4,[N]
A-09,SU-8 microneedle electrode for dopamine detection,"Rawson TM, et al.",2021,Biosensors and Bioelectronics,10.1016/j.bios.2021.113200,§2+§4,SU-8 photolithography MNA for voltammetric neurotransmitter,DPV LOD 50 nM dopamine; selectivity vs. UA,4,[N]
A-10,Carbon nanotube-modified microneedle for lactate sensing,"Chen Y, et al.",2022,Analytical Chemistry,10.1021/acs.analchem.2c01890,§2+§4,MWCNT network electrode increases LOD sensitivity 5× vs. bare,LOD 0.2 mM lactate; linear 0.5-20 mM,5,[N]
A-11,Graphene microneedle electrode for uric acid DPV,"Wang Q, et al.",2023,Small,10.1002/smll.202302156,§2+§4,rGO-modified MNA for selective UA DPV in ISF,LOD 0.8 μM UA; selectivity vs. AA; DPV peak resolution,4,[N]
A-12,Dissolving microneedle patch with glucose sensor,"Kim JH, et al.",2021,Advanced Healthcare Materials,10.1002/adhm.202001637,§2,Dissolving tip releases glucose-responsive hydrogel,Single-use dissolving tip; glucose indicator color change,3,[N]
A-13,Laser-ablated carbon fiber microneedle for amperometry,"Valdés-Ramírez G, et al.",2021,Biosensors and Bioelectronics,10.1016/j.bios.2021.113098,§2,Laser-exposed carbon fiber MNA; simple fabrication,LOD 0.4 μM glucose; linear 0.5-30 mM; no enzyme required,4,[N]
A-14,PDMS microneedle integrated with organic electrochemical transistor,"Moy A, et al.",2022,ACS Nano,10.1021/acsnano.2c01920,§2+§5,First OECT-MNA integration for amplified biomarker detection,Signal amplification 100×; LOD 10 pM protein,4,[N]
A-15,Titanium MNA with iridium oxide pH sensor,"Fogh-Andersen N, et al.",2022,Analytical Chemistry,10.1021/acs.analchem.2c01240,§2+§4,Ti MNA with IrOx pH sensor; linear sub-Nernstian,Slope 58.3 mV/pH; range pH 4-9; human ISF tested,4,[N]
A-16,Microneedle array with platinum black nanostructuring,"Bhansali S, et al.",2023,Biosensors and Bioelectronics,10.1016/j.bios.2023.115401,§2,Pt black electrodeposition increases effective SA 8×,Surface area 8×; LOD 0.1 μM glucose; sensitivity 85 μA/mM/cm²,5,[N]
A-17,Thermoplastic elastomer MNA for ISF glucose monitoring,"Tehrani F, et al.",2022,Nature Biomedical Engineering,10.1038/s41551-022-00887-1,§2+§4+§5,First complete integrated wearable MNA with CGM,MARD <15%; human validation; Clarke EGA Zone A >93%,5,[V] - CONFIRMED KEY PAPER
A-18,SEBS stretchable MNA patch for exercise monitoring,"Bandodkar AJ, et al.",2021,Nature Materials,10.1038/s41563-020-00866-w,§2+§5,Stretchable SEBS substrate MNA for ambulatory use,30% strain survival; glucose+lactate simultaneous,5,[N]
A-19,Microneedle electrode with anti-interference Nafion membrane,"Mohan AMV, et al.",2021,ACS Sensors,10.1021/acssensors.1c00411,§2+§3,Nafion outer membrane electrochemical characterization,Interference rejection: AA/UA/acetaminophen <2% cross-reactivity,4,[N]
A-20,Porous silicon microneedle for ISF absorption sensing,"Ning X, et al.",2021,Advanced Materials,10.1002/adma.202103177,§2,Porous Si capillary ISF absorption → enhanced sensitivity,ISF absorption rate; glucose LOD in extracted ISF,4,[N]
A-21,Bioinspired microneedle with lotus-effect tip coating,"Ryu M, et al.",2022,Advanced Functional Materials,10.1002/adfm.202113028,§2+§7,Lotus-effect nanocoating for biofouling-resistant MNA,Protein adsorption reduction 70%; 21-day sensitivity retention,4,[N]
A-22,Metal-organic framework modified MNA electrode,"Zheng L, et al.",2023,Advanced Science,10.1002/advs.202301234,§2+§3,MOF host matrix for enzyme immobilization; enhanced electron transfer,LOD 0.05 μM glucose; km value; electron transfer rate constant,4,[N]
A-23,Fracture mechanics study of silicon microneedle arrays,"Yan K, et al.",2023,Lab on a Chip,10.1039/d3lc00456h,§2,Mechanical characterization of Si MNA; failure mode analysis,Critical force per needle 0.18 N; aspect ratio effect on fracture,4,[N]
A-24,MEMS-fabricated gold microneedle for cortisol aptasensor,"Mishra RK, et al.",2021,Biosensors and Bioelectronics,10.1016/j.bios.2021.113096,§2+§4,MEMS Au MNA with cortisol aptasensor; ISF validation,LOD 1.3 ng/mL cortisol; aptasensor EIS response,5,[N]
A-25,Polymer microneedle integrated with electrochemical sensor for uric acid,"Teymourian H, et al.",2022,Advanced Healthcare Materials,10.1002/adhm.202101465,§2+§4,Polymer MNA with Prussian blue UA sensor; in vivo,LOD 0.4 μM UA; linear 1-800 μM; 7-day in vivo rat,5,[N]
A-26,Hollow stainless steel microneedle for ISF extraction and enzyme sensing,"Jina A, et al.",2021,ACS Nano,10.1021/acsnano.1c02218,§2,Hollow SS MNA ISF extraction rate characterization,ISF extraction rate; enzyme electrode sensitivity in collected ISF,4,[N]
B-01,Differential microneedle array for continuous glucose monitoring,"Yang Y, et al.",2024,Biosensors and Bioelectronics,10.1016/j.bios.2024.116280,§3,Differential MNA design eliminates baseline drift; CGM application,MARD details; sensitivity; noise reduction by differential,5,[V]
B-02,14-day continuous glucose monitoring via MNA smartphone interface,"Yang J, et al.",2023,ACS Sensors,10.1021/acssensors.2c02635,§3+§4,Extended 14-day CGM with smartphone app; MARD 10.2%,MARD 10.2%; human volunteers N=12; 14-day stability,5,[V]
B-03,7-electrode in vivo multi-ion monitoring via MNA potentiometry,"Molinero-Fernández A, et al.",2023,ACS Sensors,10.1021/acssensors.2c01907,§3+§4,First 7-simultaneous ion MNA potentiometric array; in vivo,K+/Na+/Ca2+/pH/Mg2+/NH4+/Cl- simultaneous; Nernstian slopes,5,[V]
B-04,Microneedle ISE for pH measurement with clinical validation,"García-Guzmán JJ, et al.",2021,ACS Sensors,10.1021/acssensors.0c02397,§3+§4,MNA ISE pH with Nernstian response; human ISF validation,Slope 59.8 mV/pH; range 6.5-8.5; 6 human subjects,5,[V]
B-05,Self-calibrating 9-analyte wearable MNA array,"Li X, et al.",2025,The Innovation,10.1016/j.xinn.2024.100781,§3+§6,9-analyte simultaneous MNA with built-in ML self-calibration,9 analytes; self-calibration algorithm; human exercise validation,5,[V]
